날짜,생철A (Busheling A) 경인,생철A (Busheling A) 경인증감,생철A (Busheling A) 영남,생철A (Busheling A) 영남증감,생철A (Busheling A) 평균,생철A (Busheling A) 평균증감
2009-07-03,313,-12,320,-15,317,-13
2009-06-26,325,0,335,0,330,0
2009-06-19,325,-16,335,-10,330,-13
2009-06-12,341,0,345,0,343,0
2009-06-05,341,0,345,0,343,0
2009-05-29,341,-11,345,-10,343,-10
2009-05-22,352,-3,355,0,353,-2
2009-05-15,355,-7,355,-15,355,-11
2009-05-08,362,0,370,0,366,0
2009-05-01,362,-16,370,-15,366,-16
2009-04-24,378,8,385,15,382,12
2009-04-17,370,15,370,7,370,11
2009-04-10,355,10,363,6,359,8
2009-04-03,345,3,357,2,351,3
2009-03-27,342,-3,355,0,348,-2
2009-03-20,345,-23,355,-10,350,-17
2009-03-13,368,-3,365,-5,367,-4
2009-03-06,371,-9,370,-7,371,-8
2009-02-27,380,-13,377,-11,379,-12
2009-02-20,393,-11,388,-12,391,-11
2009-02-13,404,11,400,-4,402,4
2009-02-06,393,4,404,24,398,14
2009-01-30,389,4,380,6,384,5
2009-01-23,385,50,374,38,379,43
2009-01-16,335,10,336,21,336,16
2009-01-09,325,20,315,19,320,19
2009-01-02,305,4,296,-5,301,0
2008-12-26,301,21,301,20,301,20
2008-12-19,280,35,281,31,281,33
2008-12-12,245,20,250,20,248,20
2008-12-05,225,25,230,20,228,23
2008-11-28,200,10,210,5,205,7
2008-11-21,190,-10,205,-15,198,-12
2008-11-14,200,-20,220,20,210,0
2008-11-07,220,-80,200,-50,210,-65
2008-10-31,300,-100,250,-100,275,-100
2008-10-24,400,-50,350,-75,375,-63
2008-10-17,450,-25,425,-10,438,-17
2008-10-10,475,-15,435,0,455,-8
2008-10-03,490,0,435,0,463,0
2008-09-26,490,0,435,0,463,0
2008-09-19,490,-10,435,-5,463,-7
2008-09-12,500,0,440,-25,470,-13
2008-09-05,500,-40,465,-65,483,-52
2008-08-29,540,-70,530,-51,535,-60
2008-08-22,610,-62,581,-39,595,-51
2008-08-15,672,-3,620,-20,646,-12
2008-08-08,675,-5,640,-15,658,-10
2008-08-01,680,0,655,0,668,0
2008-07-25,680,0,655,0,668,0
2008-07-18,680,-5,655,0,668,-2
2008-07-11,685,0,655,-5,670,-3
2008-07-04,685,-8,660,5,673,-1
2008-06-27,693,3,655,0,674,1
2008-06-20,690,10,655,-5,673,3
2008-06-13,680,0,660,-15,670,-8
2008-06-06,680,0,675,-5,678,-2
2008-05-30,680,5,680,9,680,7
2008-05-23,675,25,671,11,673,18
2008-05-16,650,14,660,40,655,27
2008-05-09,636,56,620,30,628,43
2008-05-02,580,21,590,32,585,26
2008-04-25,559,36,558,19,559,28
2008-04-18,523,10,539,28,531,19
2008-04-11,513,23,511,31,512,27
2008-04-04,490,12,480,30,485,21
2008-03-28,478,18,450,0,464,9
2008-03-21,460,10,450,0,455,5
2008-03-14,450,15,450,10,450,12
2008-03-07,435,22,440,23,438,23
2008-02-22,413,23,417,28,415,26
2008-02-15,390,2,389,6,389,4
2008-02-08,388,23,383,15,385,19
2008-02-01,365,2,368,-2,366,0
2008-01-25,363,-1,370,5,366,1
2008-01-18,364,4,365,6,365,5
2008-01-11,360,10,359,14,360,12
2008-01-04,350,7,345,2,348,5
2007-12-28,343,6,343,7,343,6
2007-12-21,337,8,336,11,337,10
2007-12-14,329,5,325,10,327,7
2007-12-07,324,1,315,5,320,3
2007-11-30,323,3,310,0,317,2
2007-11-23,320,0,310,-3,315,-2
2007-11-16,320,10,313,3,317,7
2007-11-09,310,-10,310,-4,310,-7
2007-11-02,320,-3,314,-1,317,-2
2007-10-26,323,-4,315,0,319,-2
2007-10-19,327,-4,315,-9,321,-7
2007-10-12,331,0,324,6,328,3
2007-10-05,331,-5,318,-2,325,-3
2007-09-28,336,0,320,-11,328,-6
2007-09-21,336,0,331,6,334,4
2007-09-14,336,7,325,1,330,4
2007-09-07,329,9,324,10,326,9
2007-08-31,320,0,314,4,317,2
2007-08-24,320,15,310,6,315,11
2007-08-17,305,5,304,9,304,6
2007-08-10,300,7,295,2,298,5
2007-08-03,293,3,293,0,293,2
2007-07-27,290,-2,293,5,291,1
2007-07-20,292,4,288,-4,290,0
2007-07-13,288,-2,292,3,290,0
2007-07-06,290,-3,289,-9,290,-5
2007-06-29,293,-12,298,-1,295,-7
2007-06-22,305,10,299,6,302,8
2007-06-15,295,4,293,3,294,4
2007-06-08,291,15,290,10,290,12
2007-06-01,276,2,280,9,278,5
2007-05-25,274,1,271,1,273,1
2007-05-18,273,0,270,-8,272,-4
2007-05-11,273,-2,278,3,276,1
2007-05-04,275,0,275,-5,275,-3
2007-04-27,275,-13,280,-12,278,-12
2007-04-20,288,-2,292,-8,290,-5
2007-04-13,290,-10,300,-7,295,-9
2007-04-06,300,4,307,1,304,3
2007-03-30,296,5,306,6,301,5
2007-03-23,291,6,300,5,296,6
2007-03-16,285,12,295,21,290,16
2007-03-09,273,0,274,3,274,2
2007-03-02,273,3,271,0,272,1
2007-02-23,270,7,271,4,271,6
2007-02-16,263,3,267,6,265,5
2007-02-09,260,3,261,4,260,3
2007-02-02,257,3,257,-3,257,0
2007-01-26,254,1,260,0,257,1
2007-01-19,253,4,260,6,256,5
2007-01-12,249,7,254,6,251,6
2007-01-05,242,9,248,4,245,6
2006-12-29,233,6,244,4,239,6
2006-12-22,227,4,240,15,233,9
2006-12-15,223,0,225,0,224,0
2006-12-08,223,1,225,2,224,1
2006-12-01,222,0,223,0,223,1
2006-11-24,222,2,223,-7,222,-3
2006-11-17,220,-8,230,0,225,-4
