날짜,중량A (Heavy Scrap A) 경인,중량A (Heavy Scrap A) 경인증감,중량A (Heavy Scrap A) 영남,중량A (Heavy Scrap A) 영남증감,중량A (Heavy Scrap A) 평균,중량A (Heavy Scrap A) 평균증감
2023-11-07,434,-8,441,-10,437,-9
2023-10-31,442,-5,451,-9,446,-7
2023-10-24,447,0,460,0,453,0
2023-10-17,447,0,460,2,453,0
2023-10-10,447,0,458,0,453,0
2023-10-04,447,0,458,0,453,0
2023-09-26,447,0,458,0,453,0
2023-09-19,447,-1,458,0,453,0
2023-09-12,448,0,458,0,453,0
2023-09-05,448,0,458,0,453,0
2023-08-29,448,0,458,-2,453,-1
2023-08-22,448,0,460,0,454,0
2023-08-15,448,0,460,0,454,0
2023-08-08,448,0,460,0,454,0
2023-07-25,448,-5,460,0,454,-2
2023-07-18,453,-1,460,-9,456,-6
2023-07-11,454,-7,469,-10,462,-8
2023-07-04,461,-10,479,-4,470,-7
2023-06-27,471,0,483,-6,477,-3
2023-06-20,471,0,489,-1,480,0
2023-06-13,471,5,490,2,480,3
2023-06-06,466,0,488,1,477,1
2023-05-30,466,0,487,0,476,0
2023-05-23,466,0,487,0,476,0
2023-05-16,466,1,487,0,476,0
2023-05-09,465,0,487,0,476,0
2023-05-02,465,-7,487,-8,476,-8
2023-04-25,472,-10,495,-8,484,-9
2023-04-18,482,-10,503,-11,493,-10
2023-04-11,492,-4,514,-2,503,-3
2023-04-04,496,-5,516,-8,506,-6
2023-03-28,501,0,524,0,512,0
2023-03-21,501,0,524,10,512,4
2023-03-14,501,0,514,0,508,0
2023-03-07,501,0,514,0,508,0
2023-02-28,501,0,514,0,508,0
2023-02-21,501,0,514,0,508,0
2023-02-14,501,0,514,-1,508,0
2023-02-07,501,0,515,4,508,2
2023-01-31,501,0,511,9,506,4
2023-11-07,434,-8,441,-10,437,-9
2023-10-31,442,-5,451,-9,446,-7
2023-10-24,447,0,460,0,453,0
2023-10-17,447,0,460,2,453,0
2023-10-10,447,0,458,0,453,0
2023-10-04,447,0,458,0,453,0
2023-09-26,447,0,458,0,453,0
2023-09-19,447,-1,458,0,453,0
2023-09-12,448,0,458,0,453,0
2023-09-05,448,0,458,0,453,0
2023-08-29,448,0,458,-2,453,-1
2023-08-22,448,0,460,0,454,0
2023-08-15,448,0,460,0,454,0
2023-08-08,448,0,460,0,454,0
2023-07-25,448,-5,460,0,454,-2
2023-07-18,453,-1,460,-9,456,-6
2023-07-11,454,-7,469,-10,462,-8
2023-07-04,461,-10,479,-4,470,-7
2023-06-27,471,0,483,-6,477,-3
2023-06-20,471,0,489,-1,480,0
2023-06-13,471,5,490,2,480,3
2023-06-06,466,0,488,1,477,1
2023-05-30,466,0,487,0,476,0
2023-05-23,466,0,487,0,476,0
2023-05-16,466,1,487,0,476,0
2023-05-09,465,0,487,0,476,0
2023-05-02,465,-7,487,-8,476,-8
2023-04-25,472,-10,495,-8,484,-9
2023-04-18,482,-10,503,-11,493,-10
2023-04-11,492,-4,514,-2,503,-3
2023-04-04,496,-5,516,-8,506,-6
2023-03-28,501,0,524,0,512,0
2023-03-21,501,0,524,10,512,4
2023-03-14,501,0,514,0,508,0
2023-03-07,501,0,514,0,508,0
2023-02-28,501,0,514,0,508,0
2023-02-21,501,0,514,0,508,0
2023-02-14,501,0,514,-1,508,0
2023-02-07,501,0,515,4,508,2
2023-01-31,501,0,511,9,506,4
2023-01-25,501,0,502,0,502,1
2023-01-17,501,-2,502,-9,501,-6
2023-01-10,503,0,511,-7,507,-3
2023-01-03,503,21,518,23,510,21
2022-12-27,482,42,495,41,489,42
2022-12-20,440,17,454,19,447,18
2022-12-13,423,1,435,-1,429,0
2022-12-06,422,-1,436,-5,429,-3
2022-11-29,423,-24,441,-23,432,-24
2022-11-22,447,-46,464,-59,456,-52
2022-11-15,493,-25,523,-21,508,-23
2022-11-08,518,-29,544,-22,531,-26
2022-11-01,547,0,566,0,557,0
2022-10-25,547,19,566,19,557,19
2022-10-18,528,21,547,13,538,17
2022-10-11,507,1,534,18,521,10
2022-10-04,506,0,516,-2,511,-1
2022-09-27,506,1,518,-2,512,-1
2022-09-20,505,13,520,15,513,15
2022-09-13,492,18,505,16,498,17
2022-09-06,474,43,489,44,481,43
2022-08-30,431,27,445,28,438,28
2022-08-23,404,19,417,20,410,19
2022-08-16,385,0,397,-2,391,-1
2022-08-09,385,-1,399,-1,392,-1
2022-08-04,386,-33,400,-27,393,-30
2022-07-26,419,-10,427,-11,423,-11
2022-07-19,429,-40,438,-28,434,-33
2022-07-12,469,-44,466,-46,467,-46
2022-07-05,513,-48,512,-51,513,-49
2022-06-28,561,-23,563,-33,562,-28
2022-06-21,584,-1,596,-9,590,-5
2022-06-14,585,-11,605,-3,595,-7
2022-06-07,596,-10,608,-10,602,-10
2022-05-31,606,-10,618,-10,612,-10
2022-05-24,616,-12,628,-13,622,-13
2022-05-17,628,-22,641,-10,635,-16
2022-05-10,650,-12,651,-12,651,-12
2022-05-03,662,-1,663,-8,663,-4
2022-04-26,663,-11,671,-13,667,-12
2022-04-19,674,-6,684,-5,679,-6
2022-04-12,680,0,689,1,685,1
2022-04-05,680,-1,688,-1,684,-1
2022-03-29,681,0,689,0,685,0
2022-03-22,681,3,689,3,685,3
2022-03-15,678,27,686,29,682,28
2022-03-08,651,1,657,1,654,1
2022-03-02,650,13,656,10,653,11
2022-02-22,637,11,646,11,642,11
2022-02-15,626,16,635,9,631,13
2022-02-08,610,9,626,17,618,13
2022-02-03,601,0,609,-2,605,-1
2022-01-25,601,10,611,10,606,10
2022-01-18,591,15,601,1,596,8
2022-01-11,576,23,600,29,588,26
2022-01-04,553,0,571,0,562,0
2021-12-28,553,2,571,0,562,1
2021-12-21,551,-9,571,-1,561,-5
2021-12-14,560,-2,572,-7,566,-5
2021-12-07,562,-9,579,-1,571,-5
2021-11-30,571,-6,580,-9,576,-7
2021-11-23,577,-5,589,-1,583,-3
2021-11-16,582,-13,590,-15,586,-14
2021-11-09,595,-2,605,0,600,-1
2021-11-02,597,10,605,6,601,8
2021-10-26,587,22,599,28,593,25
2021-10-19,565,24,571,21,568,22
2021-10-12,541,11,550,11,546,11
2021-10-05,530,6,539,8,535,7
2021-09-28,524,1,531,0,528,1
2021-09-23,523,-9,531,-6,527,-8
2021-09-14,532,-2,537,-3,535,-2
2021-09-07,534,-8,540,-7,537,-8
2021-08-31,542,-9,547,-4,545,-6
2021-08-24,551,9,551,1,551,5
2021-08-17,542,0,550,3,546,1
2021-08-10,542,1,547,-1,545,0
2021-08-03,541,0,548,0,545,0
2021-07-27,541,10,548,11,545,11
2021-07-20,531,0,537,3,534,1
2021-07-13,531,10,534,10,533,10
2021-07-06,521,11,524,12,523,12
2021-06-29,510,0,512,0,511,0
2021-06-22,510,9,512,16,511,12
2021-06-15,501,9,496,3,499,6
2021-06-08,492,1,493,0,493,1
2021-06-01,491,1,493,0,492,0
2021-05-25,490,21,493,19,492,20
2021-05-18,469,35,474,23,472,29
2021-05-11,434,10,451,16,443,13
2021-05-04,424,1,435,1,430,1
2021-04-27,423,2,434,-2,429,0
2021-04-20,421,11,436,16,429,14
2021-04-13,410,10,420,2,415,6
2021-04-06,400,9,418,21,409,15
2021-03-30,391,-2,397,-1,394,-2
2021-03-23,393,-6,398,-13,396,-9
2021-03-16,399,-3,411,-10,405,-7
2021-03-12,402,7,421,15,412,11
2021-03-05,395,21,406,16,401,19
2021-02-26,374,11,390,31,382,21
2021-02-19,363,1,359,1,361,1
2021-02-10,362,-11,358,-6,360,-9
2021-02-05,373,-13,364,-12,369,-12
2021-01-29,386,-18,376,-28,381,-23
2021-01-22,404,-10,404,-18,404,-14
2021-01-15,414,20,422,1,418,10
2021-01-08,394,21,421,20,408,21
2021-01-01,373,1,401,19,387,10
2020-12-25,372,51,382,46,377,48
2020-12-18,321,18,336,15,329,17
2020-12-11,303,0,321,0,312,0
2020-12-04,303,1,321,0,312,0
2020-11-27,302,1,321,6,312,4
2020-11-20,301,10,315,1,308,5
2020-11-13,291,16,314,15,303,16
2020-11-06,275,0,299,9,287,4
2020-10-30,275,-4,290,0,283,-2
2020-10-23,279,-6,290,-2,285,-4
2020-10-16,285,0,292,1,289,1
2020-10-09,285,0,291,-1,288,-1
2020-10-02,285,-9,292,-10,289,-9
2020-09-25,294,-5,302,0,298,-3
2020-09-18,299,-3,302,-7,301,-5
2020-09-11,302,-2,309,-2,306,-2
2020-09-04,304,16,311,11,308,14
2020-08-28,288,2,300,1,294,1
2020-08-21,286,19,299,22,293,21
2020-08-14,267,14,277,10,272,12
2020-08-07,253,2,267,1,260,1
2020-07-31,251,-3,266,0,259,-1
2020-07-24,254,-7,266,-3,260,-5
2020-07-17,261,-11,269,-10,265,-11
2020-07-10,272,-10,279,-10,276,-10
2020-07-03,282,-11,289,-10,286,-10
2020-06-26,293,0,299,0,296,0
2020-06-19,293,2,299,3,296,2
2020-06-12,291,13,296,10,294,12
2020-06-05,278,12,286,11,282,11
2020-05-29,266,11,275,10,271,11
2020-05-22,255,-2,265,-2,260,-2
2020-05-15,257,14,267,20,262,17
2020-05-08,243,7,247,0,245,3
2020-05-01,236,15,247,14,242,15
2020-04-24,221,-11,233,-1,227,-6
2020-04-17,232,0,234,0,233,0
2020-04-10,232,-9,234,-9,233,-9
2020-04-03,241,-1,243,0,242,-1
2020-03-27,242,-5,243,-9,243,-7
2020-03-20,247,-1,252,-8,250,-4
2020-03-13,248,0,260,7,254,3
2020-03-06,248,-1,253,2,251,1
2020-02-28,249,-4,251,-1,250,-3
